,Title,Link,Snippet
55,A brief history of software engineering,https://mediaweb.saintleo.edu/Courses/COM430/M1Readings/A%20Brief%20History%20of%20Software%20Engineering.pdf,"… rapid growth of computing power has made it possible in recent years to apply computing to 
tasks … Because this issue lies at the very core of software engineering, we need to elaborate. …"
56,Law is code: a software engineering approach to analyzing the United States code,https://digitalcommons.law.umaryland.edu/cgi/viewcontent.cgi?article=1246&context=jbtl,"… We take a computational approach to studying the full text of the United States Code (""US … 
that software engineers use to analyze the evolution and structure of large software codebases…"
57,[BOOK][B] The science of computing: shaping a discipline,https://books.google.com/books?hl=en&lr=&id=I2tYBQAAQBAJ&oi=fnd&pg=PP1&dq=Software+Engineering+in+computation&ots=3O_sOyaS8m&sig=A0iThHaK4K2W1ve2kjGsivdxL8Y,"… “That’s not computer science,” a professor told me when I abandoned the traditional computer 
science and software engineering study tracks to pursue computing topics that I thought to …"
58,The “physics” of notations: toward a scientific basis for constructing visual notations in software engineering,https://cs.uwaterloo.ca/~jmatlee/Teaching/CS846/Schedule/Jan30/Kevin.pdf,"Visual notations form an integral part of the language of software engineering (SE). Yet 
historically, SE researchers and notation designers have ignored or undervalued issues of visual …"
59,HPCMP CREATE-AV quality assurance: Lessons learned by validating and supporting computation-based engineering software,https://ieeexplore.ieee.org/abstract/document/7325179/,"… by developing and deploying advanced computational engineering design and simulation 
tools for military aircraft. While quality in newly developed software should be built in from the …"
60,Sustainability in Software Engineering Education: a case of general professional competencies,https://lib.iitta.gov.ua/720201/1/e3sconf_icsf2020_10036.pdf,"… software engineering specialists training. A system of general professional competencies is 
designed to build sustainable professional competence of software engineering … computing …"
61,Abstractions for software architecture and tools to support them,http://www.cs.cmu.edu/afs/cs/project/vit/ftp/pdf/UniCon.pdf,"… Select connectors that are available in the local computing environment so we can 
concentrate on providing them, not inventing them; however, select with diversity in mind. …"
62,Development of software effort and schedule estimation models using soft computing techniques,https://www.academia.edu/download/50818125/Development_of_Software_Effort_and_Sched20161210-31662-s7cmbd.pdf,"… In [15], author provided a strategic solution for estimating software defect using self-organizing 
neural network. Fuzzy logic and neural networks were used in software engineering …"
63,On the applicability of evolutionary computation for software defect prediction,https://ieeexplore.ieee.org/abstract/document/6968592/,"… evolutionary computation techniques makes them better suited to the software engineering 
… of the evolutionary computation and hybridized evolutionary computation techniques for …"
64,"Causality, information and biological computation: An algorithmic software approach to life, disease and the immune system",https://arxiv.org/pdf/1508.06538,"… information theory and software engineering, in the context … a translation exercise from 
computing to molecular biology and … them afresh from a software-engineering viewpoint that casts …"
